counter_1,CSyft_1/core_1/envs_1,0.009,0,0,0
counter_1,CSyft_1/core_1/envs_2,0.011,0,0,0
counter_1,CSyft_1/core_1/envs_3,0.014,0,0,0
counter_1,CSyft_1/core_1/envs_4,0.018,0,0,0
counter_1,CSyft_1/core_1/envs_5,0.017,0,0,0.001
counter_1,CSyft_1/core_1/envs_6,0.021,0,0.001,0.001
counter_1,CSyft_1/core_1/envs_7,0.026,0,0.001,0.001
counter_1,CSyft_1/core_1/envs_8,0.034,0,0.001,0.001
counter_1,CSyft_1/core_1/envs_9,0.036,0,0.001,0.002
counter_1,CSyft_1/core_1/envs_10,0.047,0.001,0.001,0.002
counter_1,CSyft_1/core_1/envs_11,0.06,0.001,0.002,0.002
counter_1,CSyft_1/core_1/envs_12,0.077,0.001,0.002,0.003
counter_1,CSyft_1/core_1/envs_13,0.098,0.001,0.002,0.003
counter_1,CSyft_1/core_1/envs_14,0.124,0.002,0.003,0.004
counter_1,CSyft_1/core_1/envs_15,0.158,0.001,0.004,0.005
counter_1,CSyft_1/core_1/envs_16,0.19,0.001,0.004,0.006
counter_1,CSyft_1/core_1/envs_17,0.233,0.002,0.004,0.006
counter_1,CSyft_1/core_1/envs_18,0.299,0.002,0.004,0.007
counter_1,CSyft_1/core_1/envs_19,0.379,0.002,0.004,0.007
counter_1,CSyft_1/core_1/envs_20,0.457,0.004,0.006,0.007
counter_1,CSyft_1/core_1/envs_21,0.792,0.005,0.007,0.011
counter_1,CSyft_1/core_1/envs_22,0.917,0.004,0.007,0.014
counter_1,CSyft_1/core_1/envs_23,1.105,0.005,0.008,0.015
counter_1,CSyft_1/core_1/envs_24,1.269,0.003,0.006,0.01
counter_1,CSyft_1/core_1/envs_25,1.069,0.004,0.006,0.011
counter_1,CSyft_1/core_1/envs_26,1.256,0.004,0.008,0.011
counter_1,CSyft_1/core_1/envs_27,2.076,0.009,0.013,0.023
counter_1,CSyft_1/core_1/envs_28,4.178,0.012,0.019,0.032
counter_1,CSyft_1/core_1/envs_29,3.805,0.01,0.014,0.025
counter_1,CSyft_1/core_1/envs_30,3.4,0.007,0.012,0.022
counter_1,CSyft_1/core_1/envs_31,3.027,0.005,0.009,0.018
counter_1,CSyft_1/core_1/envs_32,3.518,0.009,0.015,0.023
counter_1,CSyft_1/core_1/envs_33,4.364,0.009,0.014,0.026
counter_1,CSyft_1/core_1/envs_34,6.891,0.009,0.016,0.026
counter_1,CSyft_1/core_1/envs_35,5.507,0.008,0.012,0.02
counter_1,CSyft_1/core_1/envs_36,5.277,0.009,0.011,0.022
counter_1,CSyft_1/core_1/envs_37,5.885,0.008,0.014,0.022
counter_1,CSyft_1/core_1/envs_38,6.842,0.009,0.015,0.023
counter_1,CSyft_1/core_1/envs_39,7.746,0.01,0.015,0.025
counter_1,CSyft_1/core_1/envs_40,9.231,0.009,0.017,0.025
counter_1,CSyft_1/core_1/envs_41,10.387,0.011,0.016,0.03
counter_1,CSyft_1/core_1/envs_42,11.742,0.01,0.019,0.027
counter_1,CSyft_1/core_1/envs_43,12.376,0.014,0.017,0.033
counter_1,CSyft_1/core_1/envs_44,13.769,0.014,0.019,0.033
counter_1,CSyft_1/core_1/envs_45,15.448,0.016,0.019,0.034
counter_1,CSyft_1/core_1/envs_46,17.264,0.013,0.022,0.034
counter_1,CSyft_1/core_1/envs_47,19.167,0.014,0.022,0.034
counter_1,CSyft_1/core_1/envs_48,21.712,0.015,0.021,0.041
counter_1,CSyft_1/core_1/envs_49,24.147,0.015,0.024,0.043
counter_1,CSyft_1/core_1/envs_50,26.342,0.016,0.026,0.038
counter_1,CSyft_1/core_1/envs_51,29.304,0.015,0.026,0.042
counter_1,CSyft_1/core_1/envs_52,32.441,0.019,0.027,0.043
counter_1,CSyft_1/core_1/envs_53,34.452,0.021,0.029,0.044
counter_1,CSyft_1/core_1/envs_54,38.608,0.021,0.028,0.045
counter_1,CSyft_1/core_1/envs_55,41.857,0.02,0.031,0.047
counter_1,CSyft_1/core_1/envs_56,45.001,0.023,0.032,0.049
