counter_1,CSyft_2/core_1/envs_77,204.384,0.042,0.054,0.096
counter_1,CSyft_2/core_1/envs_78,240.019,0.051,0.07,0.124
counter_1,CSyft_2/core_1/envs_79,209.104,0.054,0.07,0.126
counter_1,CSyft_2/core_1/envs_80,264.484,0.05,0.06,0.105
counter_1,CSyft_2/core_1/envs_81,278.048,0.089,0.115,0.21
counter_1,CSyft_2/core_1/envs_82,275.453,0.046,0.066,0.113
counter_2,CSyft_2/core_1/envs_1,0.014,0,0,0
counter_2,CSyft_2/core_1/envs_2,0.017,0.001,0.001,0
counter_2,CSyft_2/core_1/envs_3,0.017,0.001,0.001,0.001
counter_2,CSyft_2/core_1/envs_4,0.021,0.001,0.002,0.001
counter_2,CSyft_2/core_1/envs_5,0.026,0.001,0.002,0.001
counter_2,CSyft_2/core_1/envs_6,0.027,0.001,0.003,0.002
counter_2,CSyft_2/core_1/envs_7,0.034,0.001,0.003,0.005
counter_2,CSyft_2/core_1/envs_8,0.043,0.001,0.003,0.005
counter_2,CSyft_2/core_1/envs_9,0.049,0.001,0.005,0.007
counter_2,CSyft_2/core_1/envs_10,0.064,0.001,0.005,0.008
counter_2,CSyft_2/core_1/envs_11,0.083,0.002,0.005,0.005
counter_2,CSyft_2/core_1/envs_12,0.101,0.002,0.007,0.009
counter_2,CSyft_2/core_1/envs_13,0.127,0.002,0.008,0.009
counter_2,CSyft_2/core_1/envs_14,0.16,0.003,0.009,0.009
counter_2,CSyft_2/core_1/envs_15,0.202,0.003,0.011,0.009
counter_2,CSyft_2/core_1/envs_16,0.253,0.003,0.01,0.01
counter_2,CSyft_2/core_1/envs_17,0.302,0.005,0.009,0.012
counter_2,CSyft_2/core_1/envs_18,0.371,0.003,0.01,0.017
counter_2,CSyft_2/core_1/envs_19,0.463,0.003,0.013,0.014
counter_2,CSyft_2/core_1/envs_20,0.568,0.003,0.015,0.016
counter_2,CSyft_2/core_1/envs_21,0.698,0.006,0.014,0.021
counter_2,CSyft_2/core_1/envs_22,0.786,0.005,0.016,0.019
counter_2,CSyft_2/core_1/envs_23,0.945,0.005,0.015,0.022
counter_2,CSyft_2/core_1/envs_24,1.129,0.006,0.014,0.025
counter_2,CSyft_2/core_1/envs_25,1.34,0.005,0.018,0.027
counter_2,CSyft_2/core_1/envs_26,1.572,0.004,0.021,0.026
counter_2,CSyft_2/core_1/envs_27,1.855,0.005,0.023,0.026
counter_2,CSyft_2/core_1/envs_28,2.224,0.008,0.019,0.031
counter_2,CSyft_2/core_1/envs_29,2.555,0.009,0.022,0.029
counter_2,CSyft_2/core_1/envs_30,2.933,0.007,0.024,0.032
counter_2,CSyft_2/core_1/envs_31,3.31,0.006,0.026,0.032
counter_2,CSyft_2/core_1/envs_32,3.841,0.006,0.027,0.033
counter_2,CSyft_2/core_1/envs_33,4.369,0.007,0.028,0.036
counter_2,CSyft_2/core_1/envs_34,5.003,0.007,0.028,0.037
counter_2,CSyft_2/core_1/envs_35,5.644,0.009,0.03,0.041
counter_2,CSyft_2/core_1/envs_36,6.357,0.008,0.034,0.044
counter_2,CSyft_2/core_1/envs_37,7.048,0.013,0.032,0.042
counter_2,CSyft_2/core_1/envs_38,8.164,0.014,0.034,0.046
counter_2,CSyft_2/core_1/envs_39,8.972,0.01,0.035,0.047
counter_2,CSyft_2/core_1/envs_40,10.036,0.011,0.037,0.051
counter_2,CSyft_2/core_1/envs_41,11.266,0.014,0.039,0.055
counter_2,CSyft_2/core_1/envs_42,12.525,0.014,0.04,0.055
counter_2,CSyft_2/core_1/envs_43,13.911,0.011,0.044,0.058
counter_2,CSyft_2/core_1/envs_44,15.415,0.014,0.043,0.058
counter_2,CSyft_2/core_1/envs_45,17.158,0.013,0.047,0.061
counter_2,CSyft_2/core_1/envs_46,18.849,0.017,0.047,0.062
counter_2,CSyft_2/core_1/envs_47,20.8,0.015,0.046,0.067
counter_2,CSyft_2/core_1/envs_48,22.739,0.015,0.049,0.066
counter_2,CSyft_2/core_1/envs_49,25.195,0.017,0.049,0.071
counter_2,CSyft_2/core_1/envs_50,27.05,0.02,0.05,0.074
counter_2,CSyft_2/core_1/envs_51,29.793,0.019,0.055,0.073
counter_2,CSyft_2/core_1/envs_52,32.84,0.021,0.052,0.073
counter_2,CSyft_2/core_1/envs_53,35.85,0.02,0.052,0.077
counter_2,CSyft_2/core_1/envs_54,38.852,0.02,0.056,0.08
counter_2,CSyft_2/core_1/envs_55,42.417,0.022,0.061,0.083
counter_2,CSyft_2/core_1/envs_56,49.869,0.036,0.087,0.128
counter_2,CSyft_2/core_1/envs_57,62.953,0.03,0.071,0.104
counter_2,CSyft_2/core_1/envs_58,61.159,0.021,0.06,0.08
counter_2,CSyft_2/core_1/envs_59,65.77,0.021,0.061,0.085
counter_2,CSyft_2/core_1/envs_60,57.576,0.026,0.062,0.09
counter_2,CSyft_2/core_1/envs_61,62.982,0.028,0.064,0.098
counter_2,CSyft_2/core_1/envs_62,86.62,0.026,0.066,0.092
counter_2,CSyft_2/core_1/envs_63,72.627,0.029,0.069,0.103
counter_2,CSyft_2/core_1/envs_64,79.266,0.031,0.072,0.109
counter_2,CSyft_2/core_1/envs_65,106.868,0.029,0.067,0.101
counter_2,CSyft_2/core_1/envs_66,90.91,0.032,0.078,0.11
counter_2,CSyft_2/core_1/envs_67,97.007,0.035,0.078,0.113
counter_2,CSyft_2/core_1/envs_68,114.749,0.033,0.077,0.113
counter_2,CSyft_2/core_1/envs_69,112.706,0.037,0.081,0.123
counter_2,CSyft_2/core_1/envs_70,136.901,0.033,0.079,0.115
counter_2,CSyft_2/core_1/envs_71,138.392,0.04,0.084,0.125
counter_2,CSyft_2/core_1/envs_72,165.908,0.036,0.086,0.126
counter_2,CSyft_2/core_1/envs_73,169.109,0.036,0.083,0.121
counter_2,CSyft_2/core_1/envs_74,171.691,0.05,0.109,0.163
counter_2,CSyft_2/core_1/envs_75,210.4,0.038,0.086,0.129
counter_2,CSyft_2/core_1/envs_76,201.551,0.037,0.094,0.142
counter_2,CSyft_2/core_1/envs_77,210.504,0.041,0.095,0.143
counter_2,CSyft_2/core_1/envs_78,202.808,0.04,0.093,0.142
counter_2,CSyft_2/core_1/envs_79,235.484,0.068,0.147,0.224
counter_2,CSyft_2/core_1/envs_80,243.634,0.044,0.098,0.15
counter_2,CSyft_2/core_1/envs_81,261.114,0.057,0.127,0.194
counter_2,CSyft_2/core_1/envs_82,294.414,0.051,0.104,0.16
counter_3,CSyft_2/core_1/envs_1,0.02,0.003,0,0.001
counter_3,CSyft_2/core_1/envs_2,0.022,0.003,0.002,0.002
counter_3,CSyft_2/core_1/envs_3,0.027,0.002,0.002,0.004
counter_3,CSyft_2/core_1/envs_4,0.027,0.003,0.003,0.003
counter_3,CSyft_2/core_1/envs_5,0.03,0.002,0.004,0.004
counter_3,CSyft_2/core_1/envs_6,0.033,0.003,0.005,0.005
counter_3,CSyft_2/core_1/envs_7,0.038,0.003,0.007,0.008
counter_3,CSyft_2/core_1/envs_8,0.044,0.004,0.01,0.008
counter_3,CSyft_2/core_1/envs_9,0.052,0.004,0.013,0.008
counter_3,CSyft_2/core_1/envs_10,0.068,0.004,0.013,0.011
counter_3,CSyft_2/core_1/envs_11,0.083,0.003,0.015,0.014
counter_3,CSyft_2/core_1/envs_12,0.102,0.005,0.016,0.016
counter_3,CSyft_2/core_1/envs_13,0.12,0.004,0.019,0.016
counter_3,CSyft_2/core_1/envs_14,0.16,0.004,0.021,0.016
counter_3,CSyft_2/core_1/envs_15,0.188,0.004,0.022,0.018
counter_3,CSyft_2/core_1/envs_16,0.244,0.006,0.024,0.019
counter_3,CSyft_2/core_1/envs_17,0.285,0.004,0.026,0.021
counter_3,CSyft_2/core_1/envs_18,0.349,0.005,0.027,0.025
counter_3,CSyft_2/core_1/envs_19,0.43,0.004,0.029,0.028
counter_3,CSyft_2/core_1/envs_20,0.51,0.004,0.031,0.027
counter_3,CSyft_2/core_1/envs_21,0.637,0.009,0.033,0.029
counter_3,CSyft_2/core_1/envs_22,0.843,0.009,0.046,0.039
counter_3,CSyft_2/core_1/envs_23,1.115,0.008,0.046,0.041
counter_3,CSyft_2/core_1/envs_24,1.353,0.01,0.047,0.042
counter_3,CSyft_2/core_1/envs_25,1.409,0.006,0.041,0.038
counter_3,CSyft_2/core_1/envs_26,1.56,0.01,0.055,0.05
counter_3,CSyft_2/core_1/envs_27,3.158,0.017,0.089,0.085
counter_3,CSyft_2/core_1/envs_28,3.693,0.015,0.073,0.07
counter_3,CSyft_2/core_1/envs_29,3.419,0.011,0.064,0.059
counter_3,CSyft_2/core_1/envs_30,3.171,0.008,0.053,0.049
counter_3,CSyft_2/core_1/envs_31,2.947,0.011,0.054,0.053
